Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
HA,10/20/2018,0051,N384HA,HNL,10:00,09:56,655,666,-4,10:18,22,0,0,0,0,0
HA,10/20/2019,0051,N393HA,HNL,10:00,09:56,660,672,-4,10:13,17,0,0,0,0,0
HA,10/20/2022,0051,N381HA,HNL,10:00,10:05,660,635,5,10:26,21,0,0,0,0,0
HA,10/21/2017,0051,N386HA,HNL,10:00,09:52,655,640,-8,10:14,22,0,0,0,0,0
HA,10/21/2018,0051,N361HA,HNL,10:00,09:57,655,657,-3,10:21,24,0,0,0,0,0
HA,10/21/2019,0051,N384HA,HNL,10:00,11:13,660,680,73,11:50,37,20,0,0,0,73
HA,10/21/2021,0051,N391HA,HNL,10:00,09:59,655,666,-1,10:14,15,0,0,0,0,0
HA,10/21/2022,0051,N384HA,HNL,10:00,10:05,660,629,5,10:26,21,0,0,0,0,0
HA,10/22/2017,0051,N399HA,HNL,10:00,09:54,655,635,-6,10:18,24,0,0,0,0,0
HA,10/22/2018,0051,N385HA,HNL,10:00,09:55,655,661,-5,10:16,21,0,0,0,0,0
HA,10/22/2019,0051,N393HA,HNL,10:00,12:30,660,655,150,12:50,20,0,0,0,0,145
HA,10/22/2021,0051,N378HA,HNL,10:00,09:52,655,652,-8,10:07,15,0,0,0,0,0
HA,10/22/2022,0051,N383HA,HNL,10:00,10:39,660,637,39,11:00,21,16,0,0,0,0
HA,10/23/2017,0051,N373HA,HNL,10:00,09:54,655,644,-6,10:14,20,0,0,0,0,0
HA,10/23/2018,0051,N391HA,HNL,10:00,09:53,655,628,-7,10:05,12,0,0,0,0,0
HA,10/23/2019,0051,N361HA,HNL,10:00,10:00,660,651,0,10:16,16,0,0,0,0,0
HA,10/23/2021,0051,N393HA,HNL,10:00,10:49,655,655,49,11:03,14,49,0,0,0,0
HA,10/23/2022,0051,N388HA,HNL,10:00,10:13,660,639,13,10:41,28,0,0,0,0,0
HA,10/24/2018,0051,N373HA,HNL,10:00,09:54,655,631,-6,10:06,12,0,0,0,0,0
HA,10/24/2019,0051,N381HA,HNL,10:00,09:51,660,645,-9,10:05,14,0,0,0,0,0
HA,10/24/2021,0051,N382HA,HNL,10:00,09:53,655,670,-7,10:08,15,0,0,0,0,0
HA,10/24/2022,0051,N391HA,HNL,10:00,09:58,660,657,-2,10:33,35,0,0,0,0,0
HA,10/25/2017,0051,N370HA,HNL,10:00,09:57,655,643,-3,10:14,17,0,0,0,0,0
HA,10/25/2018,0051,N384HA,HNL,10:00,09:54,655,646,-6,10:09,15,0,0,0,0,0
